acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.097,-0.818,1.136,-172.852,80.566,189.880
0.038,-1.422,1.108,-159.851,82.458,204.651
0.054,-1.527,0.972,-93.628,44.617,271.362
0.037,-1.241,1.065,-78.735,8.911,271.301
-0.043,-1.238,1.312,-98.267,-9.827,221.252
0.006,-1.226,1.514,-107.849,-8.667,175.720
0.133,-1.404,1.606,-116.577,26.062,92.590
0.251,-1.704,1.575,-83.923,9.460,101.379
0.186,-1.819,1.552,-63.416,6.165,119.019
0.220,-1.780,1.604,-6.775,-0.793,158.264
0.243,-1.818,1.734,59.753,-2.930,192.810
0.361,-1.822,1.973,119.934,7.141,233.154
0.456,-1.645,1.998,154.663,20.691,263.000
0.544,-1.437,1.973,162.415,36.194,268.738
0.586,-1.327,1.823,199.768,63.660,251.953
0.622,-1.321,1.662,263.245,73.364,221.863
0.637,-1.327,1.800,288.391,96.497,147.888
0.378,-0.691,1.911,257.202,156.860,-5.005
-0.040,0.438,1.281,221.497,218.872,-260.254
-0.326,-1.584,1.075,-94.116,162.354,-1079.163
-0.239,-1.674,0.785,-259.033,129.456,-1053.345
0.109,-1.400,0.172,-145.630,81.360,-949.768
0.750,-1.810,-0.483,183.716,32.898,-699.402
1.614,-1.444,0.123,124.329,-128.113,-190.552
1.134,-0.157,0.621,116.821,-210.205,-21.729
0.269,-0.234,1.618,138.245,-171.692,41.504
-0.051,-0.084,1.687,13.123,-46.265,52.124
