acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.783,0.196,-0.933,50.781,-62.317,-18.005
1.411,0.145,-1.587,-5.493,-45.715,-36.255
2.100,0.381,-1.400,-74.829,48.950,-42.908
0.720,-0.823,0.410,-149.170,387.207,40.283
-1.513,-1.437,0.303,-212.524,820.801,200.073
-3.971,0.360,0.586,366.272,879.089,311.829
-2.155,-0.934,2.891,734.924,359.131,223.938
-1.686,-1.336,2.907,267.456,-18.555,49.683
-3.123,0.775,2.513,-268.738,-477.844,-472.717
-2.029,-0.257,1.226,-186.462,-233.093,-442.322
-0.869,0.186,-1.162,-49.805,-44.006,-248.108
-0.926,0.077,-0.958,65.552,-36.804,-142.944
-0.898,0.124,-0.738,79.773,-25.330,-42.542
-0.823,0.354,-0.810,30.029,-31.067,13.611
-0.550,0.613,-0.999,-4.944,-57.495,32.776
-0.475,0.596,-1.009,19.226,-90.027,29.785
0.269,0.376,-1.259,-13.306,-51.270,52.185
0.344,-0.058,-1.332,-2.136,-48.706,57.251
0.483,-0.334,-1.522,-42.236,-28.198,104.675
0.892,0.021,-1.610,-78.674,11.353,111.877
1.493,0.420,-1.223,-100.586,137.146,41.443
-1.539,-0.738,0.052,168.457,637.207,18.921
-4.000,-0.526,3.397,865.967,705.994,323.608
-2.188,-2.016,3.685,536.987,379.333,492.065
-1.367,1.706,1.882,-275.635,-279.358,31.250
-2.092,1.609,2.783,-282.898,-460.754,-392.944
-1.058,0.327,0.885,-345.764,-189.575,-473.694
-0.530,-0.018,-1.115,-65.430,-63.477,-312.073
-0.973,0.560,-0.754,-81.238,-41.443,55.969
-0.771,0.695,-1.047,-38.635,-71.960,93.628
-0.623,0.466,-0.953,60.852,-125.977,100.830
-0.316,0.224,-1.088,-15.381,25.330,153.870
-0.136,0.103,-1.359,-58.899,26.428,143.921
0.153,0.438,-1.821,-87.830,22.522,130.859
0.481,0.852,-1.743,-91.064,36.194,34.668
0.464,0.394,-1.040,-54.810,76.050,-4.028
-2.661,-1.280,2.591,414.124,594.727,283.875
-2.888,-0.272,4.000,550.598,614.136,426.758
0.356,-0.438,2.246,53.833,138.794,125.000
-0.279,0.586,1.755,-322.082,-349.976,-259.033
-1.405,0.292,2.346,-230.103,-280.762,-301.453
-1.089,-0.416,1.387,-185.608,-0.183,-143.372
-0.965,0.085,-1.122,-117.615,123.291,35.034
-1.270,0.059,-0.796,-46.448,18.982,38.452
-1.622,-0.219,-0.237,0.305,-97.839,46.936
-1.629,-0.214,-0.011,-17.639,-116.638,56.396
-1.538,-0.037,0.100,-52.795,-145.813,59.509
-1.324,0.070,0.020,-55.115,-149.109,50.964
0.222,0.341,-1.393,-79.895,-98.511,-11.475
0.738,0.966,-1.645,-98.389,-101.807,-18.005
0.659,0.693,-0.683,-70.679,-50.842,-46.448
-0.696,-0.584,0.818,-52.551,367.493,50.964
-2.583,-1.506,1.423,-24.536,678.833,233.948
-4.000,-1.514,3.068,240.723,685.425,382.263
-1.092,0.304,1.415,-152.344,-416.748,-410.461
-1.103,-0.015,-0.582,-4.089,242.126,130.188
-1.191,0.009,-0.415,39.734,207.581,147.278
-1.200,0.111,-0.245,80.750,157.593,144.104
-1.133,0.055,0.498,74.707,57.922,3.540
-1.194,-0.074,0.462,77.454,45.471,-14.526
-1.258,-0.118,0.415,81.543,-7.935,-53.406
-1.278,-0.192,0.545,47.485,12.817,-50.598
-0.998,-0.302,0.684,20.996,43.701,-49.316
-1.063,-0.270,0.449,-19.592,77.332,-44.434
-1.282,-0.083,0.478,-60.608,102.539,-40.039
-1.165,-0.061,0.722,-64.941,124.573,-33.264
-1.113,-0.042,0.646,-35.461,136.047,-17.578
-1.071,-0.152,0.502,19.836,121.826,17.212
