acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.192,-0.303,0.433,98.511,106.567,-9.094
1.429,-0.537,0.301,61.707,121.338,68.665
1.619,-1.023,0.084,51.880,107.666,183.655
1.553,-1.866,0.085,69.763,69.763,374.878
1.196,-2.797,0.057,31.555,21.790,653.442
-0.417,-3.551,-0.317,-87.708,-35.645,1151.184
-2.557,-4.000,-0.015,-159.180,3.418,1494.812
-4.000,-4.000,0.053,-412.842,211.670,1696.167
-1.975,-1.463,-0.932,-848.938,664.490,1073.853
2.312,-0.023,-2.368,-115.784,427.978,459.473
2.859,-2.256,-1.369,785.828,-145.203,61.523
0.358,-4.000,1.447,486.084,-311.890,-116.699
-0.104,-4.000,2.676,-85.022,-86.182,-75.317
-0.047,-2.856,1.013,-243.408,195.801,108.582
0.362,-1.529,-0.266,-241.943,202.209,111.389
0.440,-1.207,-0.526,-216.919,56.519,0.366
0.371,-1.184,-0.067,-126.099,-20.996,-53.711
0.243,-1.180,0.257,-49.500,-35.278,-79.651
0.178,-1.258,0.265,-36.133,-32.959,-89.050
0.183,-1.304,0.255,-61.096,-33.630,-91.431
0.195,-1.308,0.255,-79.041,-35.095,-92.102
0.221,-1.287,0.288,-69.946,-34.241,-92.957
0.256,-1.223,0.313,-50.964,-35.339,-97.656
0.309,-1.283,0.403,-39.429,-41.138,-108.215
0.326,-1.270,0.436,-9.033,-58.105,-134.827
0.335,-1.253,0.378,10.681,-68.604,-148.376
0.241,-1.408,0.433,31.433,-111.633,-186.584
0.158,-1.668,0.674,18.188,-121.887,-192.322
0.134,-1.552,0.750,-6.409,-127.808,-201.111
0.143,-1.196,0.558,41.565,-144.409,-238.037
0.005,-1.310,0.617,48.889,-162.903,-282.532
-0.148,-1.544,0.772,-5.005,-161.438,-296.509
-0.139,-1.450,0.705,-56.580,-156.738,-284.485
