acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.886,-0.434,0.921,-82.703,-3.967,343.323
1.118,-0.593,1.163,-65.857,-9.155,275.818
1.407,-0.927,1.347,-66.895,-5.981,230.103
1.694,-1.196,1.413,-61.890,2.747,199.341
1.670,-1.256,1.399,-44.678,11.841,176.758
1.575,-1.165,1.307,-9.094,16.785,157.837
1.494,-0.905,1.243,47.607,19.836,126.648
1.349,-0.680,1.184,107.727,42.236,34.058
1.263,-0.367,1.092,85.754,70.679,-79.346
0.995,0.506,1.028,70.190,104.492,-274.658
0.430,1.181,0.918,85.388,139.282,-557.068
-0.313,1.329,0.849,80.017,170.349,-879.394
-1.244,0.790,0.746,5.066,192.627,-1187.378
-1.499,0.152,0.849,-335.388,102.112,-1607.422
-1.754,-0.546,1.710,-495.789,36.804,-1728.393
-2.639,-1.120,2.068,-521.973,-81.787,-1868.469
-3.223,-1.112,-0.496,227.295,51.208,-1692.200
-2.002,-3.698,-1.695,778.442,343.628,-1110.046
1.281,-3.475,0.366,337.769,442.749,-319.580
2.444,-0.943,0.620,-13.062,362.305,74.707
2.226,-0.228,-0.137,4.333,158.020,166.687
1.853,0.715,0.589,80.261,-36.743,100.952
0.979,0.130,1.307,10.681,-126.282,30.396
0.036,-0.355,1.493,-30.457,-116.577,109.802
-0.172,-0.067,1.605,-31.372,-62.805,151.062
-0.094,0.155,1.448,-36.255,-35.034,148.926
0.103,0.244,1.262,-33.691,5.493,76.294
0.400,-0.330,1.088,-10.986,-33.997,113.098
