acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.171,-1.086,0.489,8.728,149.170,109.558
-0.152,-1.179,0.557,-9.521,162.048,112.244
-0.080,-1.222,0.493,-7.385,166.809,112.366
-0.020,-1.232,0.365,-6.287,163.696,112.305
0.027,-1.192,0.293,-0.366,148.010,113.403
0.074,-1.140,0.433,19.043,127.441,100.159
-0.005,-1.269,0.523,15.198,141.235,105.103
-0.007,-1.248,0.333,-3.235,150.024,117.371
-0.016,-1.355,0.121,33.020,76.294,89.600
-0.083,-1.503,0.088,48.889,59.814,97.961
-0.163,-1.431,0.135,41.687,17.395,102.478
-0.260,-1.358,0.192,23.865,6.836,74.524
-0.371,-1.533,0.186,21.729,5.066,58.411
-0.433,-1.759,0.095,46.021,-18.860,25.085
-0.490,-1.859,0.174,71.594,-53.101,-0.366
-0.558,-1.934,0.384,83.679,-77.148,-38.452
-0.603,-1.989,0.443,95.459,-94.727,-78.674
-0.575,-2.068,0.566,117.493,-115.845,-117.310
-0.550,-2.114,0.693,135.132,-127.625,-157.532
-0.443,-2.280,0.910,136.475,-123.657,-189.331
-0.179,-2.432,0.923,124.146,-124.146,-206.360
-0.051,-2.346,0.924,130.127,-157.898,-221.558
0.011,-2.311,1.037,148.682,-177.856,-238.647
0.050,-2.291,1.087,147.095,-182.495,-260.742
0.114,-2.256,1.055,120.422,-182.129,-283.630
0.225,-2.197,0.997,104.126,-186.340,-298.828
0.336,-2.042,0.870,121.643,-201.355,-308.533
0.437,-1.938,0.755,145.386,-232.422,-317.200
0.616,-1.857,0.769,128.967,-237.976,-309.570
0.818,-1.551,0.735,106.750,-228.821,-294.617
0.987,-1.142,0.709,93.262,-210.815,-279.175
1.201,-1.017,0.650,83.313,-190.002,-259.277
1.455,-0.843,0.323,49.011,-186.645,-244.629
1.433,-0.522,-0.006,20.752,-197.754,-226.685
1.401,-0.393,-0.206,26.123,-200.256,-187.622
1.363,-0.285,-0.234,42.175,-181.396,-146.545
1.317,-0.151,-0.313,38.147,-143.188,-118.408
1.203,-0.106,-0.405,-0.549,-91.187,-97.107
1.122,-0.122,-0.445,-60.364,-28.198,-66.772
0.931,0.052,-1.012,-119.263,52.673,-26.001
0.842,-0.194,-1.238,-78.430,43.091,-31.616
0.711,-0.389,-1.178,-30.518,11.780,-12.512
0.568,-0.348,-1.023,-29.846,3.113,-4.150
0.418,-0.588,-1.064,-92.712,54.016,32.532
0.337,-0.599,-1.102,-75.806,49.194,48.889
