acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.015,-1.045,0.614,-47.913,-33.508,-54.016
-0.084,-1.027,0.575,-64.209,-42.725,-33.630
-0.523,-0.928,0.531,-190.613,20.874,-65.063
-0.592,-1.092,0.388,-213.989,21.301,-63.293
-0.696,-1.285,0.042,-232.544,3.540,-43.884
-0.812,-1.247,-0.089,-201.233,-22.095,-19.897
-0.880,-1.032,0.122,-153.137,-30.334,-14.832
-1.000,-1.007,0.212,-117.920,-21.423,-25.085
-1.053,-1.081,0.155,-112.549,-13.794,-27.100
-0.918,-0.917,0.064,-141.296,-1.160,-28.381
-0.896,-0.832,-0.127,-135.376,2.197,-31.311
-0.948,-0.793,-0.146,-118.042,3.052,-30.518
-0.917,-0.809,-0.117,-67.627,8.850,-18.127
-0.831,-0.887,-0.149,-75.195,8.728,-9.888
-0.758,-0.935,-0.245,-107.422,-0.122,13.428
-0.765,-1.124,-0.355,-85.388,-36.194,71.655
-0.764,-1.157,-0.452,-52.185,-68.115,119.934
-0.737,-1.206,-0.409,-43.518,-93.994,158.997
-0.781,-1.435,-0.450,-43.823,-107.666,203.003
-0.844,-1.252,-0.670,-32.959,-114.746,244.202
-0.672,-1.365,-0.992,17.456,-129.883,223.755
-0.561,-1.072,-1.214,80.627,-143.188,150.635
-0.528,-0.491,-1.185,119.324,-108.337,45.105
0.024,0.256,1.247,398.132,334.717,-275.879
0.307,-0.184,2.350,443.542,445.801,-289.429
0.736,-2.198,3.954,573.853,690.369,-209.656
1.394,-3.807,1.997,630.249,797.302,17.944
1.848,-2.687,0.300,254.211,432.312,299.500
1.150,-0.874,0.437,131.653,133.789,197.266
0.780,-0.816,0.632,46.875,-44.922,45.532
0.529,-1.175,1.204,-57.861,-99.304,-21.973
0.244,-1.169,1.190,-78.186,-53.040,-28.198
-0.142,-1.273,0.889,-46.875,-15.015,-28.015
-0.190,-1.112,0.298,-80.933,32.349,-15.137
