acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.106,-1.215,0.162,43.152,223.999,240.112
-0.103,-1.251,0.202,-7.812,212.830,245.911
-0.166,-1.196,0.374,-32.410,212.463,256.287
-0.284,-1.259,0.496,-11.658,222.534,266.846
-0.361,-1.339,0.512,-3.235,232.849,278.320
-0.305,-1.319,0.321,-30.457,214.600,286.865
-0.270,-1.142,0.269,-55.969,188.904,272.888
-0.373,-1.116,0.503,-9.338,210.937,218.140
-0.559,-1.657,0.450,-10.742,230.957,240.906
-0.837,-1.915,0.396,-36.560,233.582,284.180
-0.896,-1.736,0.437,-77.576,226.257,288.879
-0.858,-1.801,0.429,-106.995,205.749,242.859
-0.326,-1.926,0.183,-90.210,145.996,156.250
-0.111,-1.993,0.139,6.836,31.799,35.583
-0.015,-2.592,0.225,148.865,-104.248,-88.501
-0.039,-2.899,0.369,251.587,-200.012,-182.861
-0.064,-3.515,0.809,262.817,-222.412,-223.022
0.032,-3.389,1.388,195.679,-181.030,-252.686
0.343,-2.997,1.818,190.735,-99.548,-323.242
0.897,-3.069,1.616,288.147,-44.006,-396.545
1.102,-3.461,1.442,318.848,-112.976,-486.755
1.361,-3.542,1.744,254.028,-152.527,-515.747
1.767,-3.296,1.768,91.248,-231.018,-553.650
2.284,-2.564,1.129,82.581,-278.564,-541.443
2.979,-1.644,0.365,87.402,-361.755,-552.795
3.317,-1.143,-0.110,100.830,-464.600,-562.927
3.103,-1.267,0.510,82.825,-481.323,-479.248
2.558,-0.700,0.708,120.422,-278.625,-194.031
2.344,0.459,0.312,95.825,-127.197,-83.679
1.779,0.948,-0.241,-21.118,-36.133,-82.336
1.387,0.512,-0.661,-109.192,11.292,-73.303
1.112,0.274,-0.806,-112.000,28.137,-32.349
0.892,0.126,-0.901,-80.017,23.987,-12.024
0.831,-0.025,-1.140,-44.617,1.587,-25.085
0.616,-0.354,-1.259,-15.198,-35.645,-26.672
0.417,-0.458,-1.272,4.211,-57.983,-11.475
0.272,-0.489,-1.181,30.273,-51.208,14.771
-0.092,-0.608,-0.972,7.690,38.818,-14.099
-0.121,-0.711,-0.917,9.644,28.992,-2.991
