acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.102,-1.212,-0.174,-15.137,145.142,190.552
-0.123,-1.214,-0.148,-23.865,151.733,196.045
-0.193,-1.230,-0.135,-38.940,165.771,203.979
-0.223,-1.265,-0.214,-43.640,176.147,210.937
-0.225,-1.212,-0.300,-31.799,165.161,208.801
-0.457,-1.134,-0.330,18.738,116.760,162.781
-0.621,-1.058,-0.264,61.829,68.359,110.535
-0.641,-1.148,-0.297,74.219,58.472,103.271
-0.738,-1.325,-0.294,93.628,29.785,95.093
-0.855,-1.349,-0.146,98.877,3.235,83.435
-0.947,-1.567,-0.122,111.450,-10.315,40.100
-1.012,-1.951,-0.211,121.155,-16.113,27.893
-1.015,-2.051,-0.321,111.389,-46.875,-33.875
-0.997,-2.242,-0.224,104.370,-49.988,-114.502
-0.979,-3.069,0.153,142.334,-17.639,-179.810
-0.944,-3.274,0.290,133.972,-9.399,-185.974
-0.756,-3.257,0.444,66.467,-6.592,-220.825
-0.289,-2.692,0.286,30.945,-65.552,-361.999
0.184,-2.449,0.053,58.289,-105.225,-417.175
0.874,-2.267,-0.159,83.618,-199.829,-513.062
1.796,-1.760,-0.451,150.757,-332.214,-570.251
2.472,-1.667,-0.662,145.874,-382.324,-533.203
2.493,-1.646,-0.413,81.177,-340.454,-371.704
2.417,-0.859,-0.321,81.665,-285.278,-272.705
2.247,0.035,-0.111,166.748,-90.332,-101.440
1.949,0.074,0.112,126.709,7.751,-85.205
1.768,-0.089,-0.028,13.977,51.453,-62.439
1.634,0.045,-0.493,-44.800,32.471,-29.785
1.403,0.177,-0.870,-20.325,-24.353,-5.188
1.138,0.194,-0.894,12.756,-73.486,4.211
0.961,0.032,-0.748,1.343,-78.857,5.737
0.631,-0.556,-0.918,-83.923,77.942,8.484
0.546,-0.618,-1.005,-72.571,68.909,45.410
0.466,-0.448,-1.032,-52.124,48.035,60.791
